image,ocr-text,image-label,text-label,image-text-label
/meme_images/801.jpeg,"You don tlave | me anymore | That s not true, | never loved you",0.0,1.0,1.0
/meme_images/802.jpeg,AirV] | Love is easy | but Im busy,1.0,0.0,1.0
/meme_images/803.jpeg,long time no seel | Lets keep it that way | Hey,0.0,0.0,0.0
/meme_images/804.jpeg,Poay PLEosE | नपाल,0.0,0.0,0.0
/meme_images/805.jpeg,गोमा | NASTIPUR | मस्तीपुर | 00323000@,0.0,1.0,1.0
/meme_images/806.jpeg,ONSIORSO? | १००% GENUIEFAKE SHOP | ए=i,0.0,1.0,1.0
/meme_images/807.jpeg,Zindagi legi dobara.,0.0,1.0,1.0
/meme_images/100.jpg,SCOOPIAHOOPc= | Old Dlonh | Winter is coming,0.0,0.0,0.0
/meme_images/101.jpg,gettlng | marled | ceplying to | fnsta stories | SCOOPWHOOPcoM,0.0,0.0,0.0
/meme_images/102.jpg,"Yeh govemmentoficemeo | karane ke liye | SCOOPWHOOPee"" | Qaam",1.0,1.0,1.0
/meme_images/103.jpg,office meetings | are useless | SCOOPWHOOPeo,0.0,1.0,1.0
/meme_images/104.jpg,brain in fhe morning | brain at night | SCOOP  HOO,1.0,1.0,1.0
/meme_images/105.jpg,"life me kuch bhi maang | subah 7 | baje uthne ko mat bolo | |0,",0.0,1.0,1.0
/meme_images/106.jpg,SCOOP NHOOPcon | Coffee | र१० | La Coffee | र१०००,0.0,1.0,1.0
/meme_images/107.jpg,clothes | washed clothes | have | have | SCOOPWHOOPcow,1.0,1.0,1.0
/meme_images/108.jpg,Mumbai | Delhi | Kalata | SCOOPWHOOPcoM,1.0,1.0,1.0
/meme_images/109.jpg,SCOOPWHOOPcon | Tega yonmetatakhengekadamaajke baad,0.0,0.0,0.0
/meme_images/11.jpg,Boards | OBJECTS IN MIRROR ARE CLOSER | THAN THEY APPEAR | SCOOPWHOOPcoM,1.0,1.0,1.0
/meme_images/110.jpg,Where is ISRO? | 8 | Here,0.0,0.0,0.0
/meme_images/111.jpg,apple fans after watching | the new camera design | ThlS | I$ | FlNe | SCOOPWHOOPcoM,1.0,1.0,1.0
/meme_images/112.jpg,SCOOPWHOOPcoM | AajApple eventhai | Apne paas kaun se paise hain,0.0,1.0,1.0
/meme_images/113.jpg,people telling me | me who has only | the dress code | one pair of | for the party | clothes | ६ | SCOOPWHOOPcon,0.0,1.0,1.0
/meme_images/114.jpg,2016 | 2019 | music | music | SCOOPWHOOPcoM,0.0,0.0,0.0
/meme_images/115.jpg,my plans | 2020 | SCOOPWHOOPcoM,1.0,1.0,1.0
/meme_images/116.jpg,my | problems | me | SCOOPWHOOPcoM,1.0,1.0,1.0
/meme_images/117.jpg,IE | SCOOPWHOOPear,0.0,1.0,1.0
/meme_images/118.jpg,That one friend who | always has a lighter | carefully he s a hero | SCOOPWHOOPrc',0.0,0.0,0.0
